Mes,Temporada,id_edifici,planta_edifici,id_preu,num_botellas
Decembre,2013,LLE,3,4,10
Decembre,2013,LLE,4,4,15
Decembre,2013,LLE,5,4,8
Gener,2013,XAL,1,4,4
Gener,2013,XAL,2,4,15
Gener,2013,XAL,3,4,41
Gener,2013,XAL,4,4,2
Febrer,2013,XAL,1,4,6
Febrer,2013,XAL,2,4,17
Febrer,2013,XAL,3,4,68
Febrer,2013,XAL,4,4,7
Març,2013,XAL,1,4,3
Març,2013,XAL,2,4,10
Març,2013,XAL,3,4,21
Març,2013,XAL,4,4,2
Abril,2013,XAL,1,4,0
Abril,2013,XAL,2,4,12
Abril,2013,XAL,3,4,41
Abril,2013,XAL,4,4,10
Maig,2013,XAL,1,4,8
Maig,2013,XAL,2,4,7
Maig,2013,XAL,3,4,3
Maig,2013,XAL,4,4,8
Juny,2013,XAL,1,4,17
Juny,2013,XAL,2,4,1
Juny,2013,XAL,3,4,26
Juny,2013,XAL,4,4,30
Juliol,2013,XAL,1,4,6
Juliol,2013,XAL,2,4,5
Juliol,2013,XAL,3,4,14
Juliol,2013,XAL,4,4,25
Agost,2013,XAL,1,4,0
Agost,2013,XAL,2,4,0
Agost,2013,XAL,3,4,4
Agost,2013,XAL,4,4,22
Septembre,2013,XAL,1,4,7
Septembre,2013,XAL,2,4,7
Septembre,2013,XAL,3,4,24
Septembre,2013,XAL,4,4,33
Octubre,2013,XAL,1,4,8
Octubre,2013,XAL,2,4,8
Octubre,2013,XAL,3,4,36
Octubre,2013,XAL,4,4,34
Novembre,2013,XAL,1,4,0
Novembre,2013,XAL,2,4,10
Novembre,2013,XAL,3,4,49
Novembre,2013,XAL,4,4,37
Decembre,2013,XAL,1,4,1
Decembre,2013,XAL,2,4,25
Decembre,2013,XAL,3,4,12
Decembre,2013,XAL,4,4,95
Gener,2014,GRE,1,4,22
Gener,2014,GRE,2,4,7
Febrer,2014,GRE,1,4,17
Febrer,2014,GRE,2,4,0
Març,2014,GRE,1,4,19
Març,2014,GRE,2,4,3
Abril,2014,GRE,1,4,26
Abril,2014,GRE,2,4,2
Maig,2014,GRE,1,4,23
Maig,2014,GRE,2,4,0
Juny,2014,GRE,1,4,31
Juny,2014,GRE,2,4,0
Juliol,2014,GRE,2,4,42
Juliol,2014,GRE,2,4,0
Agost,2014,GRE,1,4,30
Agost,2014,GRE,2,4,0
Septembre,2014,GRE,1,4,18
Septembre,2014,GRE,2,4,0
Octubre,2014,GRE,1,4,31
Octubre,2014,GRE,2,4,0
Novembre,2014,GRE,1,4,30
Novembre,2014,GRE,2,4,0
Decembre,2014,GRE,1,4,45
Decembre,2014,GRE,2,4,0
Gener,2014,LLE,1,4,16
Gener,2014,LLE,2,4,8
Gener,2014,LLE,3,4,77
Gener,2014,LLE,4,4,17
Gener,2014,LLE,5,4,3
Febrer,2014,LLE,1,4,39
Febrer,2014,LLE,2,4,24
Febrer,2014,LLE,3,4,40
Febrer,2014,LLE,4,4,10
Febrer,2014,LLE,5,4,11
Març,2014,LLE,1,4,22
Març,2014,LLE,2,4,45
Març,2014,LLE,3,4,33
Març,2014,LLE,4,4,20
Març,2014,LLE,5,4,11
Abril,2014,LLE,1,4,24
Abril,2014,LLE,2,4,52
Abril,2014,LLE,3,4,33
Abril,2014,LLE,4,4,44
Abril,2014,LLE,5,4,11
Maig,2014,LLE,1,4,24
Maig,2014,LLE,2,4,52
Maig,2014,LLE,3,4,33
Maig,2014,LLE,4,4,44
Maig,2014,LLE,5,4,5
Juny,2014,LLE,1,4,2
Juny,2014,LLE,2,4,9
Juny,2014,LLE,3,4,29
Juny,2014,LLE,4,4,42
Juny,2014,LLE,5,4,2
Juliol,2014,LLE,1,4,17
Juliol,2014,LLE,2,4,23
Juliol,2014,LLE,3,4,35
Juliol,2014,LLE,4,4,36
Juliol,2014,LLE,5,4,2
Agost,2014,LLE,1,4,40
Agost,2014,LLE,2,4,3
Agost,2014,LLE,3,4,14
Agost,2014,LLE,4,4,21
Agost,2014,LLE,5,4,4
Septembre,2014,LLE,1,4,23
Septembre,2014,LLE,2,4,5
Septembre,2014,LLE,3,4,6
Septembre,2014,LLE,4,4,13
Septembre,2014,LLE,5,4,2
Octubre,2014,LLE,1,4,12
Octubre,2014,LLE,2,4,5
Octubre,2014,LLE,3,4,8
Octubre,2014,LLE,4,4,13
Octubre,2014,LLE,5,4,0
Novembre,2014,LLE,1,4,14
Novembre,2014,LLE,2,4,0
Novembre,2014,LLE,3,4,12
Novembre,2014,LLE,4,4,18
Novembre,2014,LLE,5,4,3
Decembre,2014,LLE,1,4,16
Decembre,2014,LLE,2,4,6
Decembre,2014,LLE,3,4,15
Decembre,2014,LLE,4,4,13
Decembre,2014,LLE,5,4,3
Gener,2014,XAL,1,4,5
Gener,2014,XAL,2,4,8
Gener,2014,XAL,3,4,18
Gener,2014,XAL,4,4,81
Febrer,2014,XAL,1,4,0
Febrer,2014,XAL,2,4,20
Febrer,2014,XAL,3,4,29
Febrer,2014,XAL,4,4,53
Març,2014,XAL,1,4,2
Març,2014,XAL,2,4,12
Març,2014,XAL,3,4,54
Març,2014,XAL,4,4,65
Abril,2013,XAL,1,4,8
Abril,2014,XAL,2,4,6
Abril,2014,XAL,3,4,31
Abril,2014,XAL,4,4,74
Maig,2014,XAL,1,4,0
Maig,2014,XAL,2,4,4
Maig,2014,XAL,3,4,5
Maig,2014,XAL,4,4,27
Juny,2014,XAL,1,4,11
Juny,2014,XAL,2,4,13
Juny,2014,XAL,3,4,14
Juny,2014,XAL,4,4,24
Juliol,2014,XAL,1,4,7
Juliol,2014,XAL,2,4,13
Juliol,2014,XAL,3,4,11
Juliol,2014,XAL,4,4,21
Agost,2014,XAL,1,4,39
Agost,2014,XAL,2,4,23
Agost,2014,XAL,3,4,23
Agost,2014,XAL,4,4,0
Septembre,2014,XAL,1,4,1
Septembre,2014,XAL,2,4,22
Septembre,2014,XAL,3,4,19
Septembre,2014,XAL,4,4,30
Octubre,2014,XAL,1,4,1
Octubre,2014,XAL,2,4,11
Octubre,2014,XAL,3,4,39
Octubre,2014,XAL,4,4,46
Novembre,2014,XAL,1,4,0
Novembre,2014,XAL,2,4,0
Novembre,2014,XAL,3,4,39
Novembre,2014,XAL,4,4,33
Decembre,2014,XAL,1,4,10
Decembre,2014,XAL,2,4,6
Decembre,2014,XAL,3,4,27
Decembre,2014,XAL,4,4,28
Gener,2015,GRE,1,4,64
Gener,2015,GRE,2,4,16
Gener,2015,LLE,1,4,28
Gener,2015,LLE,2,4,15
Gener,2015,LLE,3,4,24
Gener,2015,LLE,4,4,9
Gener,2015,LLE,5,4,0
Gener,2015,XAL,1,4,5
Gener,2015,XAL,2,4,15
Gener,2015,XAL,3,4,42
Gener,2015,XAL,4,4,26
Febrer,2015,GRE,1,4,47
Febrer,2015,GRE,2,4,0
Febrer,2015,LLE,1,4,34
Febrer,2015,LLE,2,4,15
Febrer,2015,LLE,3,4,16
Febrer,2015,LLE,4,4,5
Febrer,2015,LLE,5,4,0
Febrer,2015,XAL,1,4,11
Febrer,2015,XAL,2,4,6
Febrer,2015,XAL,3,4,43
Febrer,2015,XAL,4,4,4
Març,2015,GRE,1,4,47
Març,2015,LLE,1,4,33
Març,2015,LLE,2,4,22
Març,2015,LLE,3,4,13
Març,2015,LLE,4,4,30
Març,2015,LLE,5,4,4
Març,2015,XAL,1,4,21
Març,2015,XAL,2,4,27
Març,2015,XAL,3,4,29
Març,2015,XAL,4,4,6
Abril,2015,GRE,1,4,52
Abril,2015,LLE,1,4,12
Abril,2015,LLE,2,4,17
Abril,2015,LLE,3,4,33
Abril,2015,LLE,4,4,25
Abril,2015,LLE,5,4,2
Abril,2015,XAL,1,4,28
Abril,2015,XAL,2,4,24
Abril,2015,XAL,3,4,51
Abril,2015,XAL,4,4,12
Maig,2015,GRE,1,4,36
