Error en la consulta del 2013.
[INFO] Connect to Database established 24/03/2020 04:47:11pm
[INFO] Connect to Database established 24/03/2020 04:47:14pm
[INFO] Connect to Database established 24/03/2020 04:47:14pm
[INFO] Connect to Database established 24/03/2020 04:48:32pm
[INFO] Connect to Database established 24/03/2020 04:48:32pm
[INFO] Connect to Database established 24/03/2020 04:49:08pm
[INFO] Connect to Database established 24/03/2020 04:49:08pm
[INFO] Connect to Database established 24/03/2020 04:49:08pm
[INFO] Connect to Database established 24/03/2020 04:49:09pm
[INFO] Connect to Database established 24/03/2020 04:49:55pm
[INFO] Connect to Database established 24/03/2020 04:49:55pm
[INFO] Connect to Database established 24/03/2020 04:49:59pm
[INFO] Connect to Database established 24/03/2020 04:50:00pm
[INFO] Connect to Database established 24/03/2020 04:52:00pm
[INFO] Connect to Database established 24/03/2020 04:52:00pm
[INFO] Connect to Database established 24/03/2020 04:52:04pm
[INFO] Connect to Database established 24/03/2020 04:52:04pm
[INFO] Connect to Database established 24/03/2020 04:52:41pm
[INFO] Connect to Database established 24/03/2020 04:52:41pm
[INFO] Connect to Database established 24/03/2020 04:53:46pm
[INFO] Connect to Database established 24/03/2020 04:53:49pm
[INFO] Connect to Database established 24/03/2020 05:12:25pm
[INFO] Connect to Database established 24/03/2020 05:12:26pm
[INFO] Connect to Database established 24/03/2020 05:12:30pm
[INFO] Connect to Database established 24/03/2020 05:12:30pm
[INFO] Connect to Database established 24/03/2020 05:14:17pm
[INFO] Connect to Database established 24/03/2020 05:41:48pm
[INFO] Connect to Database established 24/03/2020 05:41:53pm
[INFO] Connect to Database established 24/03/2020 05:42:17pm
[INFO] Connect to Database established 24/03/2020 05:42:17pm
[INFO] Connect to Database established 24/03/2020 05:50:48pm
[INFO] Connect to Database established 24/03/2020 05:50:53pm
[INFO] Connect to Database established 24/03/2020 05:50:57pm
[INFO] Connect to Database established 24/03/2020 05:50:59pm
[INFO] Connect to Database established 24/03/2020 05:51:02pm
[INFO] Connect to Database established 24/03/2020 05:52:56pm
[INFO] Connect to Database established 24/03/2020 05:53:37pm
[INFO] Connect to Database established 24/03/2020 06:01:31pm
[INFO] Connect to Database established 24/03/2020 06:02:40pm
[INFO] Connect to Database established 24/03/2020 06:06:31pm
[INFO] Connect to Database established 24/03/2020 06:06:32pm
[INFO] Connect to Database established 24/03/2020 06:14:54pm
[INFO] Connect to Database established 24/03/2020 06:17:00pm
[INFO] Connect to Database established 24/03/2020 06:17:00pm
[INFO] Connect to Database established 24/03/2020 06:17:30pm
